trimId,trim_name
t30865,1LT Crew Cab
t50941,LS Sedan
t66996,SX Turbo
t80402,Sport
t43940,SLE2
t93967,Altitude
t74856,ES
t34476,Limited
t77984,EX V6
t69782,Advanced
t69007,LX
t38579,Shock
t68302,LE
t56120,LS Sedan
t74935,Limited
t39403,SEL Hatchback
t73499,Laramie Mega Cab
t26550,V6 CXL
t72795,EX
t35981,2.5i Premium
t38957,SV
t32303,s Touring Hatchback
t40577,Luxury
t31853,LE
t37248,SE
t52938,SE
t55137,Limited
t87055,Altitude
t77989,LX
t75253,Premium
t49951,SEL
t43271,LE
t67186,Sport
t40600,Limited
t39077,Touring
t40347,Off Road
t38215,XLT
t32219,Sport V6
t73378,AWD
t42873,550i xDrive Sedan
t82162,LT Sedan
t60218,Limited
t56743,ML 250 BlueTEC 4MATIC
t52635,Sport Quad Cab
t77809,Laramie Crew Cab
t85073,S
t43514,SEL
t34298,LX
t37200,EX-L
t44534,LT Fleet
t72686,Limited
t43812,FWD
t44848,S 4Motion
t72938,1.5T Premier
t33276,SLE2 Ext. Cab
t78039,SEL
t57688,LX
t16275,GS
t42971,Limited
t56905,SE
t37040,GLS
t49136,V6 Coupe RWD
t82266,LX
t32232,XLE
t51986,2.5i Sport
t77988,L
t78743,Luxury
t82116,SH-AWD
t32426,Si
t82385,LT Leather
t77002,Sport
t70187,SXT
t67213,Sahara
t31654,2.5 X Premium
t67987,GT Premium Coupe RWD
t32045,Sport
t36441,SH-AWD
t54866,1LT
t36267,Sport
t86896,1500 118 Low Roof Cargo Van
t87045,High Altitude
t60472,S
t52992,EX-L with Navigation
t90122,SRT Hellcat Widebody RWD
t44262,ST
t75978,JK Willys Wheeler W
t52677,Sedan
t22796,CLS 500 4dr Sedan
t51998,EX
t56495,LE
t64540,Laredo
t34240,Base
t75549,Premiere
t57528,S
t93918,LX
t37816,Limited
t54668,428xi xDrive Gran Coupe
t55085,2.5i Premium
t87154,Touring
t29616,Base
t74706,LS Sedan
t86426,Tradesman Cargo Van
t67431,LT
t33778,SES
t58516,Latitude
t52564,LX
t83957,LX
t44429,1LT
t32660,LX
t57727,SE
t12110,EX
t31548,RTL
t90099,SXT
t60040,Denali Crew Cab
t74873,AWD with Advance Package
t77982,S
t87002,Latitude
t93920,S
t24493,LPT Turbo Convertible
t87631,GT Line
t60448,V6 SH-AWD with Technology Package
t38562,Base
t43256,2.5X Premium
t36407,Journey
t40437,1LT
t57179,Sport
t86895,1500 136 Low Roof Cargo Van
t85156,Premium Luxury
t18093,Limited V6
t57984,AWD
t60814,Four
t67469,LS
t44334,LX
t74890,Z71 Crew Cab
t34461,Sport
t15731,EX
t87004,Limited
t42892,EX-L with DVD and Navigation
t46994,EX-L with DVD
t87063,Limited
t68639,Limited
t58426,LT Extended Cab LB
t87155,Touring L
