sp_id,sp_name
51012,F.C. Kerbeck Buick GMC
51013,Pointe Buick GMC
51015,Pellegrino Buick GMC
51020,Manfredi Chevrolet
51030,Crown Cadillac Inc.
51031,Joe Heidt Motors
51033,McGuire Cadillac
51040,Curry Chevrolet
51049,Brogan Cadillac
51050,L. J. Marchese Chevrolet Inc.
51055,Malouf Buick GMC
51063,Bical Auto Mall
51066,Quality GMC Buick Inc
51068,East Hills Chevrolet of Douglaston
51086,East Hills Chevrolet of Roslyn
51093,Empire Chevrolet of Huntington
51094,Holman Cadillac
51097,112 Chevrolet
51109,Mangino Chevrolet Incorporated
51110,Bridgewater Kia
51116,Mohawk Chevrolet
51130,Sawyer Chevrolet
51134,Milea Buick GMC
51137,Barton Chevrolet Cadillac
51151,Whiteman Chevrolet Inc.
51153,Whalen Chevrolet Inc
51161,DELLA Subaru
51166,Ellis Chevrolet Buick GMC
51174,Reymore Chevrolet Sales Inc.
51175,Sun Chevrolet Incorporated
51179,East Syracuse Chevrolet
51188,Bill Cram Chevrolet
51200,Den Kelly Chevrolet Buick GMC
51204,Fuccillo Autoplex Nelliston
51208,Davidson Chevrolet Cadillac Buick and GMC of Rome
51217,Davidson Chevrolet Cadillac Buick GMC
51224,Frenchie's Chevrolet
51225,Mort Backus and Sons
51226,Barstow Motors Inc.
51237,Goldstein Buick GMC
51239,Pepe Cadillac
51247,Rippy Cadillac
51251,Botnick Chevrolet
51252,Catalano Motors Incorporated
51254,Upstate Chevrolet
51256,Ken Barrett Chevrolet Cadillac
51262,Fuccillo Chevrolet of Grand Island
51264,Heinrich Chevrolet Corp.
51266,Towne Chevrolet Buick Cadillac
51268,Ki-Po Chevrolet Inc.
51271,Paddock Chevrolet
51277,David Chevrolet Buick
51278,Paul Conte Cadillac Inc.
51279,Bob Johnson 390 Chevrolet
51281,Farnsworth Chevrolet
51284,Jim Barnard Chevrolet Inc.
51288,Tradition Chevrolet Buick
51290,Molye Chevrolet
51294,Tradition Chevrolet Cadillac Buick GMC
51295,D'ELLA Buick GMC Cadillac
51301,Sarant Cadillac
51304,Cavallaro-Neubauer Chevrolet
51307,Bob Johnson Chevrolet
51309,O'Connor Chevrolet Incorporated
51312,Cappellino Buick GMC
51315,Harry's on the Hill
51323,Maguire Chevrolet Cadillac
51325,Fox Auto Group
51328,Maguire Chevrolet Inc.
51331,Elm Chevrolet Company
51333,Valley Cadillac
51338,Lee Buick GMC Truck
51340,Otto Cadillac
51352,Parks Chevrolet Kernersville
51355,Capital Chevrolet Buick GMC
51357,Hometown Auto Group
51368,John Hiester Chevrolet
51380,Tar Heel Chevrolet Buick GMC
51383,Universal Chevrolet Company
51385,Capital Chevrolet
51404,Jim Murphy Buick GMC
51410,Mike Smith Buick GMC
51429,Randall Buick GMC Cadillac
51431,Patrick Buick GMC and Used Car SuperCenter
51432,Parks Chevrolet at The Lake
51435,Abernethy Chevrolet
51443,Victory Chevrolet
51453,South Charlotte Chevrolet
51457,Powers-Swain Chevrolet Inc.
51462,Rick Bokman Inc.
51470,Clark Chevrolet Cadillac
51471,Baker Chevrolet
51478,Jeff Gordon Chevrolet
51479,Westgate Chevrolet Burgaw
51482,Dave Towell Cadillac
51492,Vestal Buick GMC
51494,Marine Chevrolet Cadillac
51496,Deacon Jones Chevrolet of La Grange
51497,Kurtis Chevrolet Inc.
51500,Subaru Concord
51504,Team Chevrolet Swansboro
51509,Randy Marion Chevrolet
51510,Doug Henry Buick GMC
51517,Dale Earnhardt Chevrolet
51521,McNeill Chevrolet Buick
51529,Subaru South Blvd
51544,Asheville Chevrolet Inc.
51545,Cappellino Cadillac
51547,Jacky Jones Chevrolet
51565,Ben Mynatt Buick GMC
51571,Randy Marion Buick GMC
51580,Theel Motors
51606,Bleecker Buick GMC
51617,Parker Buick GMC
51618,Trent Cadillac Buick GMC
51623,Dave Kehl Chevrolet
51624,Chevrolet Buick GMC of Mount Vernon
51630,Jeff Wyler Chevrolet of Columbus
51638,Black Buick GMC
51639,SVG Washington Court House
51643,Byers Chevrolet
51665,Keller Chevrolet Inc.
51668,Christy Chevy Buick Inc.
51674,Snyder Chevrolet
51678,Dave White Chevrolet Inc.
51693,Cadillac of South Charlotte
51711,Great Lakes Chevrolet
51714,Classic Madison
51716,Spitzer Chevrolet Northfield
51720,Midway Chevrolet
51726,Ganley Chevrolet
51732,Serpentini Chevrolet of Westlake
51743,Serpentini Chevrolet of Medina
51746,Laria Chevrolet Buick
